cgpa,aptitude_score,coding_score,dsa_score,communication_score,attendance_percentage,projects_count,certifications_count,age,branch,degree,city_tier,college_tier,gender,internship_experience,backlog_history,placement_status,target
8.65,69,80,54,55,89.03,4,1,21,Data Science,B.E.,Tier 2,Tier 2,Female,No,3,Not Placed,0
8.28,77,100,74,61,75.28,1,1,24,CSE,B.Tech,Tier 3,Tier 3,Male,Yes,0,Placed,1
7.91,78,77,54,71,89.75,4,1,24,Data Science,B.Tech,Tier 2,Tier 3,Female,Yes,0,Placed,1
8.57,59,56,55,73,78.95,2,4,21,ECE,B.Tech,Tier 1,Tier 1,Male,No,0,Not Placed,0
7.71,51,45,42,53,79.29,4,2,21,ECE,B.Tech,Tier 2,Tier 3,Male,Yes,0,Placed,1
8.01,67,51,80,69,72.49,0,2,24,Civil,B.Tech,Tier 2,Tier 3,Male,No,0,Placed,1
8.08,75,52,75,37,83.26,1,2,20,ECE,B.Tech,Tier 2,Tier 3,Male,Yes,0,Placed,1
8.68,62,70,55,96,85.57,4,1,23,Data Science,B.Tech,Tier 3,Tier 3,Other,Yes,2,Placed,1
8.98,80,95,68,69,93.69,2,1,20,EEE,B.E.,Tier 2,Tier 3,Male,Yes,0,Not Placed,0
8.1,78,46,49,66,79.38,2,3,24,CSE,B.E.,Tier 1,Tier 2,Female,Yes,0,Placed,1
6.82,87,47,46,62,76.77,2,0,23,Mechanical,B.Tech,Tier 3,Tier 2,Male,No,0,Placed,1
7.72,94,45,51,51,84.73,1,0,22,ECE,B.E.,Tier 1,Tier 2,Male,Yes,1,Not Placed,0
6.56,56,75,65,81,98.75,1,3,22,CSE,B.Tech,Tier 2,Tier 2,Male,Yes,0,Placed,1
8.23,77,61,58,60,83.41,3,3,20,CSE,B.Tech,Tier 2,Tier 3,Male,No,0,Placed,1
7.74,76,100,58,83,88.26,4,2,20,ISE,B.Tech,Tier 2,Tier 2,Male,No,0,Not Placed,0
7.74,87,85,88,57,86.87,3,1,23,AI & ML,B.Tech,Tier 3,Tier 1,Female,No,2,Placed,1
6.38,55,79,74,81,90.0,3,1,23,CSE,B.E.,Tier 2,Tier 3,Female,Yes,0,Placed,1
9.0,82,100,95,64,69.18,0,2,23,ISE,B.E.,Tier 2,Tier 2,Male,No,0,Placed,1
7.85,71,87,74,70,88.56,0,1,23,AI & ML,B.Tech,Tier 1,Tier 1,Female,Yes,1,Not Placed,0
6.47,71,63,61,69,92.83,2,1,20,Data Science,B.Tech,Tier 1,Tier 2,Female,Yes,1,Not Placed,0
9.35,82,73,72,41,80.49,1,2,23,Civil,B.Tech,Tier 2,Tier 2,Female,No,0,Placed,1
8.15,94,100,63,67,69.28,1,3,23,AI & ML,B.Tech,Tier 2,Tier 2,Male,Yes,0,Placed,1
7.43,63,79,75,51,75.19,2,5,22,EEE,B.Tech,Tier 3,Tier 2,Male,Yes,0,Placed,1
8.64,49,58,16,86,77.65,1,0,21,CSE,B.Tech,Tier 2,Tier 2,Female,Yes,1,Not Placed,0
7.72,60,78,70,89,84.07,3,2,23,Mechanical,B.Tech,Tier 3,Tier 2,Male,Yes,0,Placed,1
8.83,54,59,67,70,86.45,3,2,21,ECE,B.E.,Tier 2,Tier 2,Female,Yes,0,Not Placed,0
7.0,56,84,48,77,81.46,0,2,20,ISE,B.E.,Tier 2,Tier 3,Female,No,2,Not Placed,0
8.13,67,61,37,77,71.75,3,5,23,Data Science,B.Tech,Tier 3,Tier 2,Male,No,1,Not Placed,0
8.95,84,89,75,43,70.61,0,0,21,Data Science,B.E.,Tier 2,Tier 2,Female,No,1,Not Placed,0
7.4,60,70,36,59,79.52,3,2,20,Mechanical,B.Tech,Tier 1,Tier 2,Male,Yes,0,Placed,1
7.95,49,79,77,61,84.56,1,1,23,AI & ML,B.E.,Tier 2,Tier 3,Male,Yes,0,Placed,1
7.73,74,67,69,31,100.0,2,1,23,ISE,B.Tech,Tier 2,Tier 2,Female,Yes,0,Placed,1
7.35,85,66,52,61,63.44,2,1,21,Data Science,B.Tech,Tier 2,Tier 3,Male,Yes,0,Placed,1
6.92,62,80,65,66,72.27,0,1,20,CSE,B.Tech,Tier 3,Tier 2,Female,Yes,0,Placed,1
6.97,51,44,58,73,88.22,1,1,21,ECE,B.Tech,Tier 1,Tier 2,Female,No,0,Placed,1
8.64,69,67,83,67,87.08,4,3,22,CSE,B.Tech,Tier 2,Tier 3,Male,Yes,0,Placed,1
9.36,77,78,67,51,96.38,1,1,24,Civil,B.E.,Tier 3,Tier 3,Male,No,1,Not Placed,0
7.13,70,44,61,65,85.03,2,2,22,CSE,B.E.,Tier 3,Tier 2,Male,Yes,0,Not Placed,0
7.28,70,66,32,70,67.11,2,3,21,CSE,B.Tech,Tier 2,Tier 2,Male,Yes,0,Not Placed,0
6.78,53,54,65,86,100.0,1,4,23,EEE,B.E.,Tier 2,Tier 3,Male,No,2,Not Placed,0
8.05,47,87,51,53,78.74,0,3,23,ISE,B.E.,Tier 2,Tier 1,Male,No,0,Placed,1
7.79,69,79,62,80,61.99,2,1,23,CSE,B.Tech,Tier 2,Tier 2,Male,No,0,Not Placed,0
7.19,71,73,67,64,73.39,2,1,22,Data Science,B.Tech,Tier 1,Tier 1,Male,Yes,0,Placed,1
8.28,68,65,63,68,85.59,3,2,24,ISE,B.Tech,Tier 2,Tier 3,Male,Yes,0,Placed,1
7.99,73,71,86,71,78.13,4,2,20,CSE,B.E.,Tier 1,Tier 1,Female,Yes,0,Placed,1
6.57,74,68,71,63,85.71,3,3,22,CSE,B.Tech,Tier 3,Tier 2,Female,Yes,0,Placed,1
8.34,89,100,69,85,87.07,3,3,22,Data Science,B.Tech,Tier 2,Tier 3,Female,Yes,0,Placed,1
7.35,54,73,75,63,65.14,1,2,20,CSE,B.Tech,Tier 1,Tier 2,Male,Yes,1,Not Placed,0
7.35,79,54,51,78,86.34,3,2,22,ECE,B.E.,Tier 2,Tier 3,Female,No,0,Not Placed,0
9.12,77,80,52,64,85.64,3,0,23,ECE,B.Tech,Tier 3,Tier 2,Male,Yes,0,Not Placed,0
8.0,87,80,45,64,87.23,3,0,20,CSE,B.Tech,Tier 2,Tier 3,Male,No,0,Placed,1
9.22,91,91,92,75,88.72,0,4,24,EEE,B.E.,Tier 2,Tier 3,Female,No,1,Not Placed,0
7.47,67,62,59,63,65.22,0,2,21,CSE,B.Tech,Tier 3,Tier 3,Male,Yes,0,Not Placed,0
7.83,90,41,49,38,90.15,2,0,21,CSE,B.Tech,Tier 3,Tier 3,Male,No,0,Not Placed,0
7.8,55,60,56,63,72.81,4,0,24,ECE,B.E.,Tier 3,Tier 2,Male,Yes,1,Placed,1
8.18,61,87,86,66,79.95,2,2,22,CSE,B.Tech,Tier 1,Tier 2,Male,Yes,0,Placed,1
7.36,59,62,59,54,76.29,1,1,22,CSE,B.Tech,Tier 2,Tier 1,Male,No,0,Placed,1
8.17,77,88,76,58,75.66,2,4,24,Data Science,B.E.,Tier 1,Tier 3,Male,Yes,3,Placed,1
8.74,72,48,57,80,95.92,3,1,24,ECE,B.Tech,Tier 1,Tier 2,Male,No,2,Placed,1
8.4,90,100,100,61,84.91,2,0,23,Data Science,B.Tech,Tier 2,Tier 2,Female,No,0,Placed,1
7.78,64,69,74,37,88.03,4,3,24,ISE,B.Tech,Tier 2,Tier 3,Male,Yes,0,Placed,1
7.19,88,69,79,72,84.34,2,3,22,Data Science,B.Tech,Tier 2,Tier 1,Male,Yes,0,Placed,1
9.47,75,73,55,72,89.33,0,3,21,Data Science,B.E.,Tier 3,Tier 2,Male,No,0,Not Placed,0
8.22,66,74,72,61,72.98,0,2,20,Data Science,B.E.,Tier 3,Tier 1,Female,No,0,Placed,1
8.13,88,96,58,26,84.69,2,1,21,CSE,B.Tech,Tier 1,Tier 3,Male,No,0,Placed,1
7.64,82,69,68,64,87.21,0,1,21,CSE,B.Tech,Tier 3,Tier 3,Male,No,2,Not Placed,0
7.03,66,67,74,64,87.96,1,3,22,ISE,B.Tech,Tier 1,Tier 3,Male,No,0,Not Placed,0
5.14,48,55,67,47,81.16,2,4,22,ECE,B.E.,Tier 2,Tier 2,Male,Yes,0,Not Placed,0
