course_title,course_organization,course_certificate_type,course_time,course_rating,course_reviews_num,course_difficulty,course_url,course_students_enrolled,course_skills_clean,course_summary,course_description,course_rank
Social and Economic Networks:  Models and Analysis,Stanford University,Course,1 - 3 Months,4.8,712.0,advanced,https://www.coursera.org/learn/social-economic-networks,"67,579","social network, game theory, network analysis, network theory",[],"Learn how to model social and economic networks and their impact on human behavior.  How do networks form, why do they exhibit certain patterns, and how does their structure impact diffusion, learning, and other behaviors?   We will bring together models and techniques from economics, sociology, math, physics, statistics and computer science to answer these questions.
The course begins with some empirical background on social and economic networks, and an overview of concepts used to describe and measure networks. Next, we will cover a set of models of how networks form, including random network models as well as strategic formation models, and some hybrids. We will then discuss a series of models of how networks impact behavior, including contagion, diffusion, learning, and peer influences.

You can find a more detailed syllabus here:  http://web.stanford.edu/~jacksonm/Networks-Online-Syllabus.pdf 

You can find a short introductory videao here: http://web.stanford.edu/~jacksonm/Intro_Networks.mp4
",37.84021298158634
Customer Experiences with Contact Center AI - Dialogflow ES,Google Cloud,Specialization,3 - 6 Months,4.9,936.0,intermediate,https://www.coursera.org/specializations/customer-experience-gcp,"30,099",,[],"In this course, you will:
• Compare Functional and Sequential APIs, discover new models you can build with the Functional API, and build a model that produces multiple outputs including a Siamese network.
• Build custom loss functions (including the contrastive loss function used in a Siamese network) in order to measure how well a model is doing and help your neural network learn from training data. 
• Build off of existing standard layers to create custom layers for your models, customize a network layer with a lambda layer, understand the differences between them, learn what makes up a custom layer, and explore activation functions. 
• Build off of existing models to add custom functionality, learn how to define your own custom class instead of using the Functional or Sequential APIs, build models that can be inherited from the TensorFlow Model class, and build a residual network (ResNet) through defining a custom model class. 


The DeepLearning.AI TensorFlow: Advanced Techniques Specialization introduces the features of TensorFlow that provide learners with more control over their model architecture and tools that help them create and train advanced ML models.  

This Specialization is for early and mid-career software and machine learning engineers with a foundational understanding of TensorFlow who are looking to expand their knowledge and skill set by learning advanced TensorFlow features to build powerful models.
",36.8820628912651
Linux and Private Cloud Administration on IBM Power Systems,Red Hat,Specialization,3 - 6 Months,4.8,921.0,intermediate,https://www.coursera.org/specializations/linux-private-cloud-administration-power-systems,"10,280","system administration, red hat enterprise linux, virtualization, ibm power systems, cloud computing",[],"This specialization introduces Red Hat Enterprise Linux system administration and private cloud capabilities of IBM Systems. IBM Power servers will be used to demonstrate these concepts. Through three courses, you will learn a range of concepts from how to get started with Linux, to using Linux in a large private cloud environment with OpenStack-based products such as IBM PowerVC. Brought to you by IBM! 
Applied Learning Project
These courses include detailed hands-on exercises (step-by-step guides) which teach a range of concepts from how to get started with Linux, to using Linux in a large private cloud environment. After completing this specialization, you should be able to perform most Linux system administration tasks with ease.   
",36.044158780378815
Essentials in Clinical Simulations Across the Health Professions,The George Washington University,Course,1 - 3 Months,4.8,873.0,intermediate,https://www.coursera.org/learn/clinicalsimulations,"46,526","nursing, healthcare, debriefing, inacsl standards, clinical simulation",[],"This course covers in the chronological order each defining step of an entrepreneurial project. It begins with very personal considerations related to getting to better know yourself better so as to decide if you are ready for the multiple challenges of entrepreneurship. It then deals with creativity in order to provide the right set of tools to find an idea with the right potential to disrupt an existing business. We then discuss how to gather a founding team, how to raise money to initiate the project, and how to deal with day to day cash management. Later in the course, we discuss the art of selling, focusing on business to business sales, and how to measure the product launch phase using cohort analysis. Later on, we discuss the challenges of HR in an entrepreneurial environment, and of recruiting at a point where nobody knows your company. We then describe very practical techniques to initiate the international development of a small company. Last, we cover the exit strategy topic.
",35.76186438346123
U.S. Federal Taxation,University of Illinois at Urbana-Champaign,Specialization,3 - 6 Months,4.8,820.0,intermediate,https://www.coursera.org/specializations/united-states-federal-taxation,"15,895","depreciation, federal tax returns, tax law",[],"This Specialization introduces the U.S. federal tax system via conceptual and applied material. Learners will be able to apply basic principles to settings involving individuals, corporations, and other business entities, complete key components of major, individual U.S. federal tax returns, and identify tax-related strategies and implications of structuring transactions and organizations.
Applied Learning Project
Courses within this specialization involve multiple projects within each course, including preparing tax returns and real-world applications of tax principles.  In addition, the Capstone for this specialization is comprised of a comprehensive project reflecting key principles of all four foundational courses.  
",35.43156201790882
Healthcare Law,University of Pennsylvania,Specialization,3 - 6 Months,4.7,943.0,intermediate,https://www.coursera.org/specializations/healthcare-law,"14,962","affordable care act, health law, health insurance portability and accountability act (hipaa), health policy, privacy",[],"Are you looking to get your foot in the door as a Healthcare IT Support specialist? Do you want to solve technical problems for healthcare professionals and health system employees? Have you always wanted to enter an in-demand field in Health Information Technology? The courses in this specialization are designed to pique your interest regarding the ever-evolving field of IT support in healthcare. In order to help physicians, nurses, pharmacists, and a wide range of other allied health professionals and non-clinical staff, you need to be familiar with the basic language of healthcare. Through this 4-course specialization, we’ll take you on a whirlwind tour of what it means to play a critical role in maintaining the ongoing operations of a hospital, health system, clinic or other healthcare setting. You’ll be introduced to the basics of health IT fundamentals, the different technologies relevant to healthcare, and important aspects of data security, privacy and compliance. You’ll have an opportunity to hear stories of inspiration from health IT staff who once were in your shoes. Go behind-the-scenes at a large hospital to learn about the many ways in which IT support staff play a role in helping patients, providers and the population. You’ll even receive tips on job interviews and advice on how to succeed on this career path. 
Applied Learning Project
At the end of each course, you’ll be given a series of case prompts that mimic actual problems health IT support specialists might be tasked with addressing. You’ll have an opportunity to demonstrate what you’ve learned in resolving problems. Learning the language of healthcare and health IT can be difficult for those not from clinical backgrounds. We'll reinforce for you the definitions and terms that you can expect to hear when fielding phone calls and troubleshooting matters for patients, prescribers and other personnel.
",35.41515227897224
Troubles du spectre de l'autisme : diagnostic,University of Geneva,Course,1 - 3 Months,4.9,694.0,intermediate,https://www.coursera.org/learn/troubles-spectre-autisme-diagnostic,"22,526",,[],"Qu’est-ce que l’autisme ?
Comment reconnaître l’autisme ?
Peut-on observer des signes d’autisme chez les bébés ? 

Ces questions vous interpellent ? C’est pourquoi nous avons créé ce MOOC qui réunit des experts du Trouble du Spectre de l’Autisme (TSA) et se base sur des faits scientifiquement prouvés. 

Dans ce cours en ligne et gratuit, vous allez comprendre comment se pose un diagnostic de TSA, avec quels outils, et sur la base de quelles observations. Vous apprendrez également à reconnaître les différents signes indicateurs d’un TSA chez les enfants, les adultes, mais aussi chez les bébés. Nous aborderons également ensemble les différentes étapes à suivre lorsqu’on annonce un diagnostic de TSA à une personne ou une famille.

À l’aide d’extraits vidéo, nous vous illustrerons les symptômes de l’autisme et l’utilisation de différents outils. Vous aurez également l’occasion d’entendre les témoignages de parents d’enfants avec un TSA qui racontent leurs premières inquiétudes et leur parcours diagnostique.

Que vous soyez un professionnel tel que médecin, psychologue, éducateur/trice, aide à la petite enfance ou proche aidant, vous trouverez les réponses à de nombreuses questions dans ce MOOC.
",35.27168484759424
Django for Everybody,University of Michigan,Specialization,3 - 6 Months,4.7,904.0,intermediate,https://www.coursera.org/specializations/django,"50,277","cascading style sheets (css), html, javascript, sql, django (web framework)",[],"Diversity is a fact. It is also paradoxical. We need to be capable of seeing and hearing differences in order to reap the benefits of diversity. But seeing and hearing differences hone our discriminating reflexes and can also lead to discrimination. If you take this MOOC, you will: 1. understand this paradox, 2. understand its dynamics, and 3. identify ways to manage it, so that you can better channel the diversity potential in the workplace for greater performance and innovation.
",35.19702365892862
IBM Mainframe Developer,IBM,Professional Certificate,3 - 6 Months,4.6,932.0,intermediate,https://www.coursera.org/professional-certificates/ibm-mainframe-developer,"3,063","mainframe, z/os, enterprise software, security, ibm z, interfaces, computer programming, command-line interface, eulers totient function, intrinsic function, sorting, cobol divisions, cobol coding, column structure, cobol structure, symbols, issue tracking system, scrum (software development)",[],"Gain the job-ready skills for an entry-level mainframe programming role. Mainframe computers continue to power many mission-critical, financial, banking, and government agency systems. There are 220 billion lines of COBOL in use today. 43% of banking systems are built on COBOL, and 95% percent of ATM swipes rely on COBOL code.¹  
COBOL is scalable, mature, and self-documenting. You'll learn about COBOL from its birth and through its evolution. You'll learn new features and aspects of the language, while also getting hands-on experience to increase your knowledge and abilities with COBOL as a whole. You’ll work with a variety of IBM, COBOL, and mainframe assets, project scenarios, including COBOL programming basics, TSO, ISPF, gaining practical experience with mainframe data management and software development techniques. 
This Professional Certificate does not require any prior programming skills and is suitable for learners without college degrees. 
Upon successful completion of this program, you’ll have analyzed the real-world mainframe environment, reviewed mainframe assets and data, and presented and created a software development plan, giving you the confidence and the portfolio to begin a career as a mainframe programmer.
¹Reuters Graphics: COBOL Blues
Applied Learning Project
Power your programming career by learning the core principles of mainframe programming and software development through hands-on skills practice. Learners will build and complete COBOL code and projects utilizing an IBM z/OS mainframe lab environment, with instructions and videos to help guide them. Upon completion, learners will have accessed, reviewed, and interacted with an actual IBM mainframe computer, created sample data sets and lines of COBOL code. Learners will create a detailed software development plan and supporting systems analysis documentation.
",34.602330316287556
Business Data Management and Communication,University of Illinois at Urbana-Champaign,Specialization,3 - 6 Months,4.6,890.0,intermediate,https://www.coursera.org/specializations/business-data-management-communication,"11,336","asset management, business analytics, financial accounting, data analysis, rstudio",[],"Our world has become increasingly digital, and business leaders need to make sense of the enormous amount of available data today. In order to make key strategic business decisions and leverage data as a competitive advantage, it is critical to understand how to draw key insights from this data. The Business Analytics specialization is targeted towards aspiring managers, senior managers, and business executives who wish to have a well-rounded knowledge of business analytics that integrates the areas of data science, analytics and business decision making. 
The courses in this Specialization will focus on strategy, methods, tools, and applications that are widely used in business. Topics covered include: 
Data strategy at firms 
Reliable ways to collect, analyze, and visualize data–and utilize data in organizational decision making 
Understanding data modeling and predictive analytics at a high-level
Learning basic methods of business analytics by working with data sets and tools such as Power BI, Alteryx, and RStudio
Learning to make informed business decisions via analytics across key functional areas in business such as finance, marketing, retail & supply chain management, and social media to enhance profitability and competitiveness. 
Applied Learning Project
A central premise of these courses is that applying targeted subject-matter expertise is crucial in order to frame the correct data problem, collect and analyze data, and to develop and operationalize performance metrics. Each subject area will be followed by an in-depth project-based application and analysis exercise.

",34.36926280300229
