job_id,job_title,company,location,employment_type,experience_level,industry,skills_required,salary_min_usd,salary_max_usd,remote_allowed,posted_date,salary_avg_usd,salary_min_inr,salary_max_inr,salary_avg_inr,salary_min_lpa,salary_max_lpa,salary_avg_lpa,skills_list
1,Product Manager,Meta,"Austin, USA",Full-time,Entry level,Education,"Python, Node.js, SQL, JavaScript, Power BI, Machine Learning",53278,99326,True,25-04-2023,76302.0,4422074.0,8244058.0,6333066.0,44.22074,82.44058,63.33066,"['python', 'node.js', 'sql', 'javascript', 'power bi', 'machine learning']"
2,Product Manager,Oracle,"London, UK",Full-time,Mid level,E-commerce,"AWS, Java, JavaScript, Azure, SQL",76062,141049,True,28-07-2024,108555.5,6313146.0,11707067.0,9010106.5,63.13146,117.07067,90.101065,"['aws', 'java', 'javascript', 'azure', 'sql']"
3,Machine Learning Engineer,Salesforce,"London, UK",Full-time,Director,Education,"Node.js, Docker, SQL",62676,119728,False,25-01-2024,91202.0,5202108.0,9937424.0,7569766.0,52.02108,99.37424,75.69766,"['node.js', 'docker', 'sql']"
4,Data Analyst,StartupX,"Seattle, USA",Contract,Entry level,Finance,"Docker, AWS, Kubernetes",75203,94319,False,06-01-2024,84761.0,6241849.0,7828477.0,7035163.0,62.41849,78.28477,70.35163,"['docker', 'aws', 'kubernetes']"
5,Product Manager,StartupX,"London, UK",Full-time,Mid level,Education,"Java, Kubernetes, Docker, AWS",98520,155086,True,16-06-2023,126803.0,8177160.0,12872138.0,10524649.0,81.7716,128.72138,105.24649,"['java', 'kubernetes', 'docker', 'aws']"
6,Data Analyst,Tesla,"Toronto, Canada",Contract,Entry level,Finance,"JavaScript, Excel, Kubernetes, Docker, React",57331,97352,False,29-11-2023,77341.5,4758473.0,8080216.0,6419344.5,47.58473,80.80216,64.193445,"['javascript', 'excel', 'kubernetes', 'docker', 'react']"
7,Product Manager,FinTechHub,Remote,Contract,Director,Education,"Azure, JavaScript, Java, Machine Learning, Kubernetes, SQL",84718,113019,True,27-05-2023,98868.5,7031594.0,9380577.0,8206085.5,70.31594,93.80577,82.060855,"['azure', 'javascript', 'java', 'machine learning', 'kubernetes', 'sql']"
8,DevOps Engineer,Salesforce,"San Francisco, USA",Internship,Director,Education,"Machine Learning, AWS, Node.js, Python, Excel, SQL",70033,101002,False,23-04-2023,85517.5,5812739.0,8383166.0,7097952.5,58.12739,83.83166,70.979525,"['machine learning', 'aws', 'node.js', 'python', 'excel', 'sql']"
9,DevOps Engineer,Amazon,"Bangalore, India",Full-time,Senior level,Education,"Machine Learning, SQL, Excel, AWS",64621,113090,True,15-12-2023,88855.5,5363543.0,9386470.0,7375006.5,53.63543,93.8647,73.750065,"['machine learning', 'sql', 'excel', 'aws']"
10,Marketing Analyst,Adobe,"New York, USA",Contract,Director,Technology,"Node.js, Azure, Tableau",99009,130183,False,06-06-2023,114596.0,8217747.0,10805189.0,9511468.0,82.17747,108.05189,95.11468,"['node.js', 'azure', 'tableau']"
11,AI Researcher,Microsoft,"San Francisco, USA",Internship,Entry level,Education,"Java, Excel, Kubernetes, Machine Learning",57592,99163,True,03-09-2023,78377.5,4780136.0,8230529.0,6505332.5,47.80136,82.30529,65.053325,"['java', 'excel', 'kubernetes', 'machine learning']"
12,Product Manager,Adobe,"Seattle, USA",Contract,Director,Healthcare,"Node.js, Machine Learning, Kubernetes, SQL, JavaScript, Excel",119163,184624,True,29-09-2023,151893.5,9890529.0,15323792.0,12607160.5,98.90529,153.23792,126.071605,"['node.js', 'machine learning', 'kubernetes', 'sql', 'javascript', 'excel']"
13,AI Researcher,Meta,"New York, USA",Full-time,Entry level,Finance,"Node.js, Python, Azure",52757,92918,True,13-12-2023,72837.5,4378831.0,7712194.0,6045512.5,43.78831,77.12194,60.455125,"['node.js', 'python', 'azure']"
14,Full Stack Developer,Meta,Remote,Part-time,Director,Finance,"Tableau, Docker, JavaScript, SQL, Power BI, React",81195,127695,False,10-06-2024,104445.0,6739185.0,10598685.0,8668935.0,67.39185,105.98685,86.68935,"['tableau', 'docker', 'javascript', 'sql', 'power bi', 'react']"
15,Data Analyst,StartupX,"San Francisco, USA",Full-time,Director,Healthcare,"JavaScript, Node.js, React",103883,175096,False,09-03-2024,139489.5,8622289.0,14532968.0,11577628.5,86.22289,145.32968,115.776285,"['javascript', 'node.js', 'react']"
16,Business Analyst,Oracle,"Seattle, USA",Full-time,Director,Education,"Python, Excel, Machine Learning",105296,139346,True,24-05-2023,122321.0,8739568.0,11565718.0,10152643.0,87.39568,115.65718,101.52643,"['python', 'excel', 'machine learning']"
17,DevOps Engineer,Oracle,"Bangalore, India",Part-time,Director,Technology,"Docker, Python, Node.js, AWS",80982,112780,False,06-04-2023,96881.0,6721506.0,9360740.0,8041123.0,67.21506,93.6074,80.41123,"['docker', 'python', 'node.js', 'aws']"
18,Software Engineer,Meta,"London, UK",Part-time,Entry level,Education,"Power BI, Azure, Python",105444,179232,True,20-10-2023,142338.0,8751852.0,14876256.0,11814054.0,87.51852,148.76256,118.14054,"['power bi', 'azure', 'python']"
19,Marketing Analyst,Amazon,"New York, USA",Full-time,Mid level,Technology,"Excel, React, JavaScript",112493,188402,False,21-08-2024,150447.5,9336919.0,15637366.0,12487142.5,93.36919,156.37366,124.871425,"['excel', 'react', 'javascript']"
20,AI Researcher,Microsoft,"Toronto, Canada",Contract,Senior level,Finance,"JavaScript, AWS, Docker, Java, Excel",82271,97480,False,03-05-2023,89875.5,6828493.0,8090840.0,7459666.5,68.28493,80.9084,74.596665,"['javascript', 'aws', 'docker', 'java', 'excel']"
21,Data Analyst,Oracle,"San Francisco, USA",Full-time,Mid level,Education,"Java, Azure, SQL, JavaScript, React",91441,110949,False,13-04-2024,101195.0,7589603.0,9208767.0,8399185.0,75.89603,92.08767,83.99185,"['java', 'azure', 'sql', 'javascript', 'react']"
22,AI Researcher,StartupX,Remote,Full-time,Senior level,Technology,"AWS, SQL, React, Power BI",107433,157084,True,11-06-2023,132258.5,8916939.0,13037972.0,10977455.5,89.16939,130.37972,109.774555,"['aws', 'sql', 'react', 'power bi']"
23,Machine Learning Engineer,Meta,"London, UK",Internship,Senior level,Technology,"Excel, Docker, AWS",86930,124537,True,06-10-2023,105733.5,7215190.0,10336571.0,8775880.5,72.1519,103.36571,87.758805,"['excel', 'docker', 'aws']"
24,Business Analyst,Amazon,"Bangalore, India",Internship,Entry level,Technology,"Node.js, Power BI, Java",93719,120865,True,04-01-2023,107292.0,7778677.0,10031795.0,8905236.0,77.78677,100.31795,89.05236,"['node.js', 'power bi', 'java']"
25,Software Engineer,Google,"London, UK",Contract,Entry level,Healthcare,"Excel, JavaScript, Node.js, SQL",69410,135743,False,14-01-2024,102576.5,5761030.0,11266669.0,8513849.5,57.6103,112.66669,85.138495,"['excel', 'javascript', 'node.js', 'sql']"
26,Product Manager,Amazon,"Austin, USA",Internship,Entry level,Finance,"Tableau, Docker, Node.js, Excel, JavaScript",103264,133521,False,27-07-2024,118392.5,8570912.0,11082243.0,9826577.5,85.70912,110.82243,98.265775,"['tableau', 'docker', 'node.js', 'excel', 'javascript']"
27,Data Analyst,Oracle,"Seattle, USA",Part-time,Director,Healthcare,"React, Tableau, JavaScript, Node.js, Python",64168,124308,True,13-06-2023,94238.0,5325944.0,10317564.0,7821754.0,53.25944,103.17564,78.21754,"['react', 'tableau', 'javascript', 'node.js', 'python']"
28,Data Scientist,Netflix,"Berlin, Germany",Internship,Senior level,Technology,"Node.js, AWS, Java",93025,139542,False,13-02-2024,116283.5,7721075.0,11581986.0,9651530.5,77.21075,115.81986,96.515305,"['node.js', 'aws', 'java']"
29,Machine Learning Engineer,FinTechHub,"Berlin, Germany",Internship,Entry level,E-commerce,"AWS, Python, Power BI, Docker",64208,131167,True,09-02-2023,97687.5,5329264.0,10886861.0,8108062.5,53.29264,108.86861,81.080625,"['aws', 'python', 'power bi', 'docker']"
