skill,normalized_skill,work_activities
Arm-Hand Steadiness,arm hand steadiness,"['Controlling Machines and Processes', 'Handling and Moving Objects', 'Operating Vehicles, Mechanized Devices, or Equipment', 'Repairing and Maintaining Electronic Equipment', 'Repairing and Maintaining Mechanical Equipment']"
Auditory Attention,auditory attention,"['Inspecting Equipment, Structures, or Material', 'Monitor Processes, Materials, or Surroundings', 'Operating Vehicles, Mechanized Devices, or Equipment', 'Performing for or Working Directly with the Public']"
Category Flexibility,category flexibility,"['Analyzing Data or Information', 'Coordinating the Work and Activities of Others', 'Developing Objectives and Strategies', 'Documenting/Recording Information', 'Identifying Objects, Actions, and Events', 'Inspecting Equipment, Structures, or Material', 'Interpreting the Meaning of Information for Others', 'Judging the Qualities of Things, Services, or People', 'Making Decisions and Solving Problems', 'Monitor Processes, Materials, or Surroundings', 'Organizing, Planning, and Prioritizing Work', 'Performing Administrative Activities', 'Processing Information', 'Provide Consultation and Advice to Others', 'Resolving Conflicts and Negotiating with Others', 'Scheduling Work and Activities', 'Staffing Organizational Units', 'Thinking Creatively', 'Training and Teaching Others']"
Control Precision,control precision,"['Controlling Machines and Processes', 'Operating Vehicles, Mechanized Devices, or Equipment', 'Repairing and Maintaining Electronic Equipment', 'Repairing and Maintaining Mechanical Equipment']"
Deductive Reasoning,deductive reasoning,"['Analyzing Data or Information', 'Assisting and Caring for Others', 'Coaching and Developing Others', 'Coordinating the Work and Activities of Others', 'Developing Objectives and Strategies', 'Developing and Building Teams', 'Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment', 'Estimating the Quantifiable Characteristics of Products, Events, or Information', 'Evaluating Information to Determine Compliance with Standards', 'Guiding, Directing, and Motivating Subordinates', 'Identifying Objects, Actions, and Events', 'Inspecting Equipment, Structures, or Material', 'Interacting With Computers', 'Interpreting the Meaning of Information for Others', 'Judging the Qualities of Things, Services, or People', 'Making Decisions and Solving Problems', 'Monitor Processes, Materials, or Surroundings', 'Monitoring and Controlling Resources', 'Organizing, Planning, and Prioritizing Work', 'Performing Administrative Activities', 'Performing for or Working Directly with the Public', 'Processing Information', 'Provide Consultation and Advice to Others', 'Repairing and Maintaining Electronic Equipment', 'Repairing and Maintaining Mechanical Equipment', 'Resolving Conflicts and Negotiating with Others', 'Scheduling Work and Activities', 'Selling or Influencing Others', 'Staffing Organizational Units', 'Training and Teaching Others', 'Updating and Using Relevant Knowledge']"
Depth Perception,depth perception,"['Estimating the Quantifiable Characteristics of Products, Events, or Information', 'Inspecting Equipment, Structures, or Material', 'Operating Vehicles, Mechanized Devices, or Equipment']"
Dynamic Strength,dynamic strength,['Performing General Physical Activities']
Explosive Strength,explosive strength,"['Handling and Moving Objects', 'Performing General Physical Activities']"
Extent Flexibility,extent flexibility,"['Handling and Moving Objects', 'Performing General Physical Activities', 'Repairing and Maintaining Electronic Equipment', 'Repairing and Maintaining Mechanical Equipment']"
Far Vision,far vision,"['Estimating the Quantifiable Characteristics of Products, Events, or Information', 'Getting Information', 'Identifying Objects, Actions, and Events', 'Inspecting Equipment, Structures, or Material', 'Monitor Processes, Materials, or Surroundings', 'Operating Vehicles, Mechanized Devices, or Equipment']"
Finger Dexterity,finger dexterity,"['Handling and Moving Objects', 'Repairing and Maintaining Electronic Equipment', 'Repairing and Maintaining Mechanical Equipment']"
Flexibility of Closure,flexibility of closure,"['Estimating the Quantifiable Characteristics of Products, Events, or Information', 'Getting Information', 'Identifying Objects, Actions, and Events', 'Inspecting Equipment, Structures, or Material', 'Making Decisions and Solving Problems', 'Monitor Processes, Materials, or Surroundings', 'Processing Information']"
Fluency of Ideas,fluency of ideas,"['Coaching and Developing Others', 'Coordinating the Work and Activities of Others', 'Developing Objectives and Strategies', 'Developing and Building Teams', 'Guiding, Directing, and Motivating Subordinates', 'Making Decisions and Solving Problems', 'Provide Consultation and Advice to Others', 'Resolving Conflicts and Negotiating with Others', 'Selling or Influencing Others', 'Thinking Creatively', 'Training and Teaching Others']"
Glare Sensitivity,glare sensitivity,"['Operating Vehicles, Mechanized Devices, or Equipment']"
Gross Body Coordination,gross body coordination,['Performing General Physical Activities']
Gross Body Equilibrium,gross body equilibrium,['Performing General Physical Activities']
Hearing Sensitivity,hearing sensitivity,"['Identifying Objects, Actions, and Events', 'Inspecting Equipment, Structures, or Material', 'Monitor Processes, Materials, or Surroundings', 'Operating Vehicles, Mechanized Devices, or Equipment']"
