student_id,age,gender,state,city,city_tier,college_tier,branch,degree,cgpa,backlog_history,internship_experience,projects_count,certifications_count,aptitude_score,coding_score,dsa_score,communication_score,attendance_percentage,preferred_role,placement_status,placement_probability,salary_lpa
STU00001,21,Female,Karnataka,Mangaluru,Tier 2,Tier 2,Data Science,B.E.,8.65,3,No,4,1,69,80,54,55,89.03,Data Scientist,Not Placed,0.4623,0.0
STU00002,24,Male,Karnataka,Mysuru,Tier 3,Tier 3,CSE,B.Tech,8.28,0,Yes,1,1,77,100,74,61,75.28,Software Developer,Placed,0.8008,5.98
STU00003,24,Female,Karnataka,Bengaluru,Tier 2,Tier 3,Data Science,B.Tech,7.91,0,Yes,4,1,78,77,54,71,89.75,Data Scientist,Placed,0.8148,4.65
STU00004,21,Male,Andhra Pradesh,Tirupati,Tier 1,Tier 1,ECE,B.Tech,8.57,0,No,2,4,59,56,55,73,78.95,Embedded Engineer,Not Placed,0.6769,0.0
STU00005,21,Male,Gujarat,Ahmedabad,Tier 2,Tier 3,ECE,B.Tech,7.71,0,Yes,4,2,51,45,42,53,79.29,Embedded Engineer,Placed,0.5568,2.5
STU00006,24,Male,Tamil Nadu,Coimbatore,Tier 2,Tier 3,Civil,B.Tech,8.01,0,No,0,2,67,51,80,69,72.49,Civil Engineer,Placed,0.4217,2.61
STU00007,20,Male,Andhra Pradesh,Vijayawada,Tier 2,Tier 3,ECE,B.Tech,8.08,0,Yes,1,2,75,52,75,37,83.26,Embedded Engineer,Placed,0.5192,2.93
STU00008,23,Other,Karnataka,Bengaluru,Tier 3,Tier 3,Data Science,B.Tech,8.68,2,Yes,4,1,62,70,55,96,85.57,Data Scientist,Placed,0.7138,3.72
STU00009,20,Male,West Bengal,Durgapur,Tier 2,Tier 3,EEE,B.E.,8.98,0,Yes,2,1,80,95,68,69,93.69,Electrical Engineer,Not Placed,0.8553,0.0
STU00010,24,Female,Uttar Pradesh,Noida,Tier 1,Tier 2,CSE,B.E.,8.1,0,Yes,2,3,78,46,49,66,79.38,Software Developer,Placed,0.7053,4.85
STU00011,23,Male,Maharashtra,Mumbai,Tier 3,Tier 2,Mechanical,B.Tech,6.82,0,No,2,0,87,47,46,62,76.77,Design Engineer,Placed,0.3716,3.33
STU00012,22,Male,Telangana,Hyderabad,Tier 1,Tier 2,ECE,B.E.,7.72,1,Yes,1,0,94,45,51,51,84.73,Embedded Engineer,Not Placed,0.4042,0.0
STU00013,22,Male,Kerala,Kochi,Tier 2,Tier 2,CSE,B.Tech,6.56,0,Yes,1,3,56,75,65,81,98.75,Software Developer,Placed,0.6076,4.56
STU00014,20,Male,Karnataka,Mangaluru,Tier 2,Tier 3,CSE,B.Tech,8.23,0,No,3,3,77,61,58,60,83.41,Software Developer,Placed,0.6828,4.0
STU00015,20,Male,Tamil Nadu,Coimbatore,Tier 2,Tier 2,ISE,B.Tech,7.74,0,No,4,2,76,100,58,83,88.26,Full Stack Developer,Not Placed,0.842,0.0
STU00016,23,Female,Delhi,Delhi,Tier 3,Tier 1,AI & ML,B.Tech,7.74,2,No,3,1,87,85,88,57,86.87,Machine Learning Engineer,Placed,0.5401,5.12
STU00017,23,Female,Andhra Pradesh,Visakhapatnam,Tier 2,Tier 3,CSE,B.E.,6.38,0,Yes,3,1,55,79,74,81,90.0,Software Developer,Placed,0.6209,4.26
STU00018,23,Male,Karnataka,Mysuru,Tier 2,Tier 2,ISE,B.E.,9.0,0,No,0,2,82,100,95,64,69.18,Full Stack Developer,Placed,0.7958,3.13
STU00019,23,Female,Uttar Pradesh,Kanpur,Tier 1,Tier 1,AI & ML,B.Tech,7.85,1,Yes,0,1,71,87,74,70,88.56,Machine Learning Engineer,Not Placed,0.6388,0.0
